date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:15	80/80	---M-Z	200	added ('OK')	text/plain	date:Thu,%2030%20Apr%202026%2007:47:15%20GMT	https://feurona.com/robots.txt		(from )
10:47:15	128353/128353	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2007:47:15%20GMT	https://feurona.com/	C:/My%20Web%20Sites/feurona/feurona.com/index.html	(from )
10:47:16	12886/12886	---M--	200	added ('OK')	image/png	etag:3fcbf2cd8bab2f600dcd559ee997e6db	../cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/3498527b-afe4-401a-9f55-80080532c014_rwc_0x0x700x700x700ecc3.png	C:/My%20Web%20Sites/feurona/cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/3498527b-afe4-401a-9f55-80080532c014_rwc_0x0x700x700x700ecc3.png	(from https://feurona.com/)
10:47:16	895/895	---M--	200	added ('OK')	image/png	etag:173e5ec33e1067c31f1dc83e244044e4	../cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/947fc5d9-3ea0-41b8-b2b9-caae3eff1f56_carw_1x1x32f70f.png	C:/My%20Web%20Sites/feurona/cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/947fc5d9-3ea0-41b8-b2b9-caae3eff1f56_carw_1x1x32f70f.png	(from https://feurona.com/)
10:47:16	11686/11686	---M-Z	200	added ('OK')	text/css	etag:%2269f21c69-2da6%22	https://feurona.com/dist/css/main.css	C:/My%20Web%20Sites/feurona/feurona.com/dist/css/main.css	(from https://feurona.com/)
10:47:16	42990/42990	---M--	200	added ('OK')	text/css	etag:ef91e5c5fc3775b577bed3e055094bb7	../cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/50d9fb0ded87fac4ff91c881cc5a75b91764598855c1aa.css	C:/My%20Web%20Sites/feurona/cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/50d9fb0ded87fac4ff91c881cc5a75b91764598855c1aa.css	(from https://feurona.com/)
10:47:16	128353/128353	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2007:47:16%20GMT	https://feurona.com/work	C:/My%20Web%20Sites/feurona/feurona.com/work.html	(from https://feurona.com/)
10:47:17	16649/16649	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2030%20Apr%202026%2007:47:17%20GMT	../use.typekit.net/ik/182Fy8R4jw8RbUwWe6A3Fvesq5A2siWFA3UgDx2drg3fe8GJGLGmIKvDFQqawQFLjQbuF2sR5A93FAjhFQMuZQmcZ24RZR93wDjXFhIDwD6ajDy8wRIXwyGMJ6scieonH6qJyB9bMg6IJMI7fbKgmsMMeMS6MZMgU_pakMj.js	C:/My%20Web%20Sites/feurona/use.typekit.net/ik/182Fy8R4jw8RbUwWe6A3Fvesq5A2siWFA3UgDx2drg3fe8GJGLGmIKvDFQqawQFLjQbuF2sR5A93FAjhFQMuZQmcZ24RZR93wDjXFhIDwD6ajDy8wRIXwyGMJ6scieonH6qJyB9bMg6IJMI7fbKgmsMMeMS6MZMgU_pakMj3288.js	(from https://feurona.com/)
10:47:18	14457/14457	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2007:47:18%20GMT	https://feurona.com/contact	C:/My%20Web%20Sites/feurona/feurona.com/contact.html	(from https://feurona.com/)
10:47:18	12886/12886	---M--	200	added ('OK')	image/png	etag:10012406a3de20b7a86a3b66fd65e591	../cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/7d88e3ff-c57a-4cc4-aa43-afb505810f66_rwc_0x0x700x700x40969014.png	C:/My%20Web%20Sites/feurona/cdn.myportfolio.com/8f9e97e6-b4e9-4f72-a8ba-dc4a7e833406/7d88e3ff-c57a-4cc4-aa43-afb505810f66_rwc_0x0x700x700x40969014.png	(from https://feurona.com/)
